frame,angle_0,angle_1,angle_2,angle_3,angle_4,angle_5,angle_6,angle_7,angle_8,angle_9
83,51.848221661005454,51.986948976652585,159.87820127085885,161.29180267900122,128.4487719652358,95.99342268609428,153.36155956297563,110.52034079341928,150.3142303907862,145.32639195279748
84,51.90027846531209,52.227376984576416,158.94873961642045,160.2440571287853,126.76604978969335,97.06232869950257,149.4446783978943,114.71595927414597,145.9014244888666,147.27138629688216
85,52.449091347238095,53.5737359399827,158.6488302421506,158.56178959856064,124.82415230744395,111.6527579311943,146.75874431169368,134.26485419475134,148.37642368980713,146.1807001969658
86,52.54831670054972,53.991942430095065,158.21539835927172,157.72649717777776,123.16624494955903,114.16677209724483,143.58809671875562,135.64974067681038,147.5976132002042,142.9306489963724
87,52.50937569715137,54.174595504138075,157.97574032323936,157.8811783861554,122.3726358109099,112.63331296453768,141.4412248775409,134.53232555880265,141.83965565526063,142.06188567305858
88,52.82355288840524,54.38810650656765,157.8888745571927,157.73767593731705,119.66483339810053,114.30638120099029,137.39588938265362,137.11336383665406,138.3995558508987,138.7103769986834
89,53.0965268652618,55.14423094208744,158.1526936642906,157.44710148397598,113.74243861334897,117.57658399025291,129.37600720057057,140.99527926198704,136.71973315476848,143.09756475012378
90,53.98885636195703,55.9996353304466,158.8425311893388,157.3698698493821,111.9570382958097,116.15595115187458,126.67914320857972,141.61392006805286,140.86371442732582,144.39406233032443
91,53.8650471450271,56.33586567451152,158.54423742504946,157.5103036802685,110.38315268248854,114.22832857158201,121.79769877414827,144.81118797677755,139.72287106180622,157.09563110190433
92,53.8372054815025,57.57112939803286,158.5697065413846,157.7632446400055,109.81409580858828,112.40601459054281,119.1180311381506,142.36914442097824,137.01666463202068,156.9749059986567
93,53.94150527374794,57.292432899270985,158.6897445918824,158.27092585800628,105.78148918694598,110.41488272930866,114.56176365798214,140.51772268635258,137.12411523637357,157.65574956675502
94,52.96668457344966,57.489860159458736,158.33914873942507,158.38410613066426,102.40254654583391,101.39572068189688,110.7699236595196,119.82209819839935,136.7703207756667,154.82624278337443
95,52.62610477249676,57.8496180671518,158.22287363057916,158.77586063250817,96.09555649722063,109.68281874180525,105.99880642447363,120.88701319045961,143.0712339243511,148.42293552931915
96,51.945306360231925,58.954348217900794,158.29147370760072,159.43914806058396,93.46930565471457,111.12341342395335,101.29494209853573,121.40326866397567,140.8518730749583,139.8135390541285
97,51.39620119196219,59.459590701879804,158.0040807699821,158.79860796644758,90.14881658496817,110.49406740074635,98.46384436237344,123.22026832913096,142.5247592536104,143.20604948697704
